Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,asymmetric,0.31,0.3682087922726426
75% Corpus,12,asymmetric,0.61,0.3847311394473754
75% Corpus,12,asymmetric,0.9099999999999999,0.3266256204165844
75% Corpus,12,asymmetric,symmetric,0.3216804254848941
75% Corpus,13,0.01,0.01,0.3234081614171665
75% Corpus,13,0.01,0.31,0.35459225416065004
75% Corpus,13,0.01,0.61,0.3767673816851699
75% Corpus,13,0.01,0.9099999999999999,0.3223993802777846
75% Corpus,13,0.01,symmetric,0.32160188626311087
75% Corpus,13,0.31,0.01,0.3457252155206578
75% Corpus,13,0.31,0.31,0.3608036801838109
75% Corpus,13,0.31,0.61,0.38053790421731576
75% Corpus,13,0.31,0.9099999999999999,0.32200529080062573
75% Corpus,13,0.31,symmetric,0.32666318380967485
75% Corpus,13,0.61,0.01,0.33118935260096993
75% Corpus,13,0.61,0.31,0.37394983820136274
75% Corpus,13,0.61,0.61,0.3233554121603151
75% Corpus,13,0.61,0.9099999999999999,0.34213167431779745
75% Corpus,13,0.61,symmetric,0.31828490770854884
75% Corpus,13,0.9099999999999999,0.01,0.3354732639429697
75% Corpus,13,0.9099999999999999,0.31,0.360560668629458
75% Corpus,13,0.9099999999999999,0.61,0.3345450624474325
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.3195206804054686
75% Corpus,13,0.9099999999999999,symmetric,0.3318112319546142
75% Corpus,13,symmetric,0.01,0.32346035293138686
75% Corpus,13,symmetric,0.31,0.36565283712254026
75% Corpus,13,symmetric,0.61,0.3735199877383764
75% Corpus,13,symmetric,0.9099999999999999,0.3428910842248346
75% Corpus,13,symmetric,symmetric,0.33147490660769124
75% Corpus,13,asymmetric,0.01,0.3353061485444448
75% Corpus,13,asymmetric,0.31,0.3428583046853783
75% Corpus,13,asymmetric,0.61,0.3664768160225536
75% Corpus,13,asymmetric,0.9099999999999999,0.3483302404506625
75% Corpus,13,asymmetric,symmetric,0.33489493705951445
75% Corpus,14,0.01,0.01,0.3145915049687568
75% Corpus,14,0.01,0.31,0.36730184895068396
75% Corpus,14,0.01,0.61,0.358369467694994
75% Corpus,14,0.01,0.9099999999999999,0.3419865598067323
75% Corpus,14,0.01,symmetric,0.31054889404416175
75% Corpus,14,0.31,0.01,0.32186252546167854
75% Corpus,14,0.31,0.31,0.35050196707203735
75% Corpus,14,0.31,0.61,0.34478849488944074
75% Corpus,14,0.31,0.9099999999999999,0.3456813665082498
75% Corpus,14,0.31,symmetric,0.31488539813293837
75% Corpus,14,0.61,0.01,0.33555612934256085
75% Corpus,14,0.61,0.31,0.36210269686394164
75% Corpus,14,0.61,0.61,0.36177392947304926
75% Corpus,14,0.61,0.9099999999999999,0.3042479044928836
75% Corpus,14,0.61,symmetric,0.3530987958699488
75% Corpus,14,0.9099999999999999,0.01,0.34754317382126687
75% Corpus,14,0.9099999999999999,0.31,0.3196366478646074
75% Corpus,14,0.9099999999999999,0.61,0.3623078043213402
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.34674140738566317
75% Corpus,14,0.9099999999999999,symmetric,0.3148925367633679
75% Corpus,14,symmetric,0.01,0.31650880646462
75% Corpus,14,symmetric,0.31,0.38841173760595354
75% Corpus,14,symmetric,0.61,0.3849977314460125
75% Corpus,14,symmetric,0.9099999999999999,0.31868761298201914
75% Corpus,14,symmetric,symmetric,0.31061233317296727
75% Corpus,14,asymmetric,0.01,0.3297270611136916
75% Corpus,14,asymmetric,0.31,0.40123444488724935
75% Corpus,14,asymmetric,0.61,0.36451179790764715
75% Corpus,14,asymmetric,0.9099999999999999,0.3245144629474425
75% Corpus,14,asymmetric,symmetric,0.32074816212324636
75% Corpus,15,0.01,0.01,0.34087441894977716
75% Corpus,15,0.01,0.31,0.373981011455407
75% Corpus,15,0.01,0.61,0.3746879762956462
75% Corpus,15,0.01,0.9099999999999999,0.33217674587272467
75% Corpus,15,0.01,symmetric,0.344153706286345
75% Corpus,15,0.31,0.01,0.3470526639974041
75% Corpus,15,0.31,0.31,0.3745959768463019
75% Corpus,15,0.31,0.61,0.3665442251899522
75% Corpus,15,0.31,0.9099999999999999,0.31101024513180686
75% Corpus,15,0.31,symmetric,0.3262521407841869
75% Corpus,15,0.61,0.01,0.328898845564842
75% Corpus,15,0.61,0.31,0.3482128794454243
75% Corpus,15,0.61,0.61,0.3217903669924601
75% Corpus,15,0.61,0.9099999999999999,0.3355369316011089
75% Corpus,15,0.61,symmetric,0.3229382850738863
75% Corpus,15,0.9099999999999999,0.01,0.33517577122982556
75% Corpus,15,0.9099999999999999,0.31,0.3408215903268887
75% Corpus,15,0.9099999999999999,0.61,0.3201661619633575
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.3139697990060183
75% Corpus,15,0.9099999999999999,symmetric,0.3294011712875424
75% Corpus,15,symmetric,0.01,0.3301059357026475
75% Corpus,15,symmetric,0.31,0.3585818179452335
75% Corpus,15,symmetric,0.61,0.3703795917599384
75% Corpus,15,symmetric,0.9099999999999999,0.3447538286049314
75% Corpus,15,symmetric,symmetric,0.33650192460631817
75% Corpus,15,asymmetric,0.01,0.32982190986007964
75% Corpus,15,asymmetric,0.31,0.36228564992278806
75% Corpus,15,asymmetric,0.61,0.3581032955844906
75% Corpus,15,asymmetric,0.9099999999999999,0.3551833307971704
75% Corpus,15,asymmetric,symmetric,0.3486328464566407
75% Corpus,16,0.01,0.01,0.3249571775718141
75% Corpus,16,0.01,0.31,0.37429553510841035
75% Corpus,16,0.01,0.61,0.41085900047169593
75% Corpus,16,0.01,0.9099999999999999,0.32038928337983147
75% Corpus,16,0.01,symmetric,0.32365250110008165
75% Corpus,16,0.31,0.01,0.33054005091498007
75% Corpus,16,0.31,0.31,0.3690939846852052
75% Corpus,16,0.31,0.61,0.3836084595551392
75% Corpus,16,0.31,0.9099999999999999,0.3249509555019021
75% Corpus,16,0.31,symmetric,0.3269502105574292
75% Corpus,16,0.61,0.01,0.3599070984308026
75% Corpus,16,0.61,0.31,0.3515501735313723
75% Corpus,16,0.61,0.61,0.3444356203182466
75% Corpus,16,0.61,0.9099999999999999,0.31655969299300807
75% Corpus,16,0.61,symmetric,0.3518933420032301
75% Corpus,16,0.9099999999999999,0.01,0.3417422075709352
75% Corpus,16,0.9099999999999999,0.31,0.3366599929162113
75% Corpus,16,0.9099999999999999,0.61,0.3441554316077263
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.3161929037210779
75% Corpus,16,0.9099999999999999,symmetric,0.3300538122981138
75% Corpus,16,symmetric,0.01,0.31996313942281235
75% Corpus,16,symmetric,0.31,0.3292937780686722
75% Corpus,16,symmetric,0.61,0.37299424464764297
75% Corpus,16,symmetric,0.9099999999999999,0.33422464387723544
75% Corpus,16,symmetric,symmetric,0.32281670306955207
75% Corpus,16,asymmetric,0.01,0.32803244395157527
75% Corpus,16,asymmetric,0.31,0.38111861509685246
75% Corpus,16,asymmetric,0.61,0.38163203379862903
75% Corpus,16,asymmetric,0.9099999999999999,0.332251047922494
75% Corpus,16,asymmetric,symmetric,0.32974430149124423
75% Corpus,17,0.01,0.01,0.3280964093866542
75% Corpus,17,0.01,0.31,0.3647088674729027
75% Corpus,17,0.01,0.61,0.3605814870934977
75% Corpus,17,0.01,0.9099999999999999,0.34406472469445026
75% Corpus,17,0.01,symmetric,0.3309719569669919
75% Corpus,17,0.31,0.01,0.34388030685367943
75% Corpus,17,0.31,0.31,0.39181281392959044
75% Corpus,17,0.31,0.61,0.365320932811668
75% Corpus,17,0.31,0.9099999999999999,0.3329214945986958
75% Corpus,17,0.31,symmetric,0.3292416205064036
75% Corpus,17,0.61,0.01,0.34188012622404035
75% Corpus,17,0.61,0.31,0.36709019214624905
75% Corpus,17,0.61,0.61,0.3342198970994258
75% Corpus,17,0.61,0.9099999999999999,0.3303038054930809
75% Corpus,17,0.61,symmetric,0.3224850365217701
75% Corpus,17,0.9099999999999999,0.01,0.33578605810559725
75% Corpus,17,0.9099999999999999,0.31,0.34638557662641
75% Corpus,17,0.9099999999999999,0.61,0.3511063915008946
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.3279419742211512
75% Corpus,17,0.9099999999999999,symmetric,0.3273257212968566
75% Corpus,17,symmetric,0.01,0.33995868489128045
75% Corpus,17,symmetric,0.31,0.3870550230958806
75% Corpus,17,symmetric,0.61,0.37294247287112
75% Corpus,17,symmetric,0.9099999999999999,0.3252050567960059
75% Corpus,17,symmetric,symmetric,0.3326886758016455
75% Corpus,17,asymmetric,0.01,0.3411763316180064
75% Corpus,17,asymmetric,0.31,0.3722533462559009
75% Corpus,17,asymmetric,0.61,0.332751072798232
75% Corpus,17,asymmetric,0.9099999999999999,0.32560379215139407
75% Corpus,17,asymmetric,symmetric,0.3334245233269567
75% Corpus,18,0.01,0.01,0.3174388996884686
75% Corpus,18,0.01,0.31,0.3553960992529865
75% Corpus,18,0.01,0.61,0.3510768077694339
75% Corpus,18,0.01,0.9099999999999999,0.33878202235510313
75% Corpus,18,0.01,symmetric,0.3159671785442326
75% Corpus,18,0.31,0.01,0.3350198626173391
75% Corpus,18,0.31,0.31,0.4022408973134202
75% Corpus,18,0.31,0.61,0.34508776425076504
